status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_208499392967562,https://www.facebook.com/150424302108405_208499392967562,https://www.wearemitu.com/bad-hombres/8-latinos-in-mlb-today-who-came-from-the-unlikeliest-of-baseball-playing-countries/,We come from all over...,Link,Sports,21/03/2017,0,0,1,0,,,
150424302108405_201700450314123,https://www.facebook.com/150424302108405_201700450314123,https://www.wearemitu.com/bad-hombres/9-things-about-you-that-prove-you-were-a-teenage-mutant-ninja-turtle-when-you-were-a-kid/,I wanted to be Donatello.,Link,TV & Movies,13/03/2017,0,0,1,0,,,
150424302108405_201603983657103,https://www.facebook.com/150424302108405_201603983657103,https://www.wearemitu.com/bad-hombres/a-brazilian-microbrewer-has-crafted-beer-from-an-ingredient-youd-never-expect/,"The trimmings alone are worth more than $20,000.",Link,Food & Beverages,10/03/2017,0,0,1,0,,,
150424302108405_209068656243969,https://www.facebook.com/150424302108405_209068656243969,https://www.wearemitu.com/bad-hombres/heres-a-list-of-movies-that-are-scarier-because-chancla-is-in-the-title/,'Willy Wonka & The Chancla Factory' DEAD.,Link,TV & Movies,22/03/2017,0,0,1,0,,,
150424302108405_204296840054484,https://www.facebook.com/150424302108405_204296840054484,https://www.wearemitu.com/bad-hombres/heres-a-list-of-things-that-probably-emasculate-you-all-the-time/,"For anyone who skipped shop class, this is way too real...",Link,Other,15/03/2017,0,0,1,0,,,
150424302108405_200162323801269,https://www.facebook.com/150424302108405_200162323801269,https://www.wearemitu.com/bad-hombres/heres-a-list-of-wrestling-moves-you-didnt-know-were-invented-by-latinos/,Even the torture rack?,Link,Sports,8/03/2017,0,0,1,0,,,
150424302108405_204515746699260,https://www.facebook.com/150424302108405_204515746699260,https://www.wearemitu.com/bad-hombres/heres-why-you-need-to-quit-playing-and-go-to-a-dominican-barbershop-right-now/,They give you the jawline that God didn't.,Link,Beauty & Fashion,16/03/2017,0,0,1,0,,,
150424302108405_210117752805726,https://www.facebook.com/150424302108405_210117752805726,https://www.wearemitu.com/bad-hombres/heres-why-you-should-leave-the-butt-stuff-to-professionals/,The ingredients he used as fillers were insane.,Link,Sensationalist,24/03/2017,0,0,1,0,,,
150424302108405_212532089230959,https://www.facebook.com/150424302108405_212532089230959,https://www.wearemitu.com/bad-hombres/in-this-season-2-trailer-for-lopez-george-lopez-is-one-mean-s-o-b/,He's baaaaaaack!,Link,TV & Movies,29/03/2017,0,0,1,0,,,
150424302108405_216063728877795,https://www.facebook.com/150424302108405_216063728877795,https://www.wearemitu.com/bad-hombres/john-cena-proposes-to-nikki-bella-at-wrestlemania-and-she-says-yes-yes-yes/,I wanna see the 'Pre-nup-On-A-Pole' match.,Link,Sports,4/04/2017,0,0,1,0,,,
